slug,status,business_name,tested_method,last_tested,url,redirects_to,content_length,business_indicators,services,description
bj21f,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bj21f,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
bm49t,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bm49t,,,,,
bo19e,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bo19e,,,,,
bo40s,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bo40s,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
bq77s,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bq77s,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
bt21u,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bt21u,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
bx73l,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bx73l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
cm42y,INACTIVE_401,401,Browser_Automation,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/cm42y,/widget/401,49,0,,401 ERROR Nothing left to do here. Go To HomePage
cm72x,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/cm72x,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
cp94s,INACTIVE_401,401,Browser_Automation,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/cp94s,/widget/401,49,0,,401 ERROR Nothing left to do here. Go To HomePage
ds24m,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ds24m,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ej48u,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ej48u,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ek22b,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ek22b,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
faaaa,INACTIVE_401,,Other_Laptop_Range,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/faaaa,/widget/401,,0,,Range tested on other laptop - all inactive
fabon,INACTIVE_401,,Other_Laptop_Range,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fabon,/widget/401,,0,,Range tested on other laptop - all inactive
fb37i,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fb37i,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
fi23p,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fi23p,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
fu42w,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fu42w,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
fu73w,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fu73w,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
hd53o,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/hd53o,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
hn34w,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/hn34w,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ie72w,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ie72w,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ji39e,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ji39e,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
jm09a,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/jm09a,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ki38l,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ki38l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
kp91y,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/kp91y,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
lc44m,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lc44m,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ld19e,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ld19e,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
li75b,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/li75b,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
lm70z,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lm70z,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
lp56a,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lp56a,,,,,
lp57s,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lp57s,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
lx39o,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lx39o,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
md10i,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/md10i,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
md23r,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/md23r,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
mj23y,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mj23y,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
mj42f,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mj42f,,,,,
