slug,number,business_name,platform,status,page_title,url,final_url,load_time,tested_at
MjE4OA==,2188,Fluid Fit Wellness,Hydreight,ACTIVE,Fluid Fit Wellness,https://booking.hydreight.com/b/MjE4OA==,https://booking.hydreight.com/widget-business/up22a,5.282674789428711,2025-06-29T23:08:50.849941
MjE4OQ==,2189,Revive & Thrive Infusions,Hydreight,ACTIVE,Revive & Thrive Infusions,https://booking.hydreight.com/b/MjE4OQ==,https://booking.hydreight.com/widget-business/mz36d,6.12291407585144,2025-06-29T23:09:03.607119
MjE5MA==,2190,Jessica Hayes,Hydreight,ACTIVE,Jessica Hayes,https://booking.hydreight.com/b/MjE5MA==,https://booking.hydreight.com/widget-business/uk91z,5.871830940246582,2025-06-29T23:09:16.073171
MjE5MQ==,2191,Fountain of Life IV,Hydreight,ACTIVE,Fountain of Life IV,https://booking.hydreight.com/b/MjE5MQ==,https://booking.hydreight.com/widget-business/na03p,5.290241718292236,2025-06-29T23:09:28.049241
MjE5Mg==,2192,METTACare,Hydreight,ACTIVE,METTACare,https://booking.hydreight.com/b/MjE5Mg==,https://booking.hydreight.com/widget-business/yg28x,5.839268922805786,2025-06-29T23:09:40.750001
MjE5Mw==,2193,Life of Ivy,Hydreight,ACTIVE,Life of Ivy,https://booking.hydreight.com/b/MjE5Mw==,https://booking.hydreight.com/widget-business/cz93n,7.831617116928101,2025-06-29T23:09:55.295063
MjE5NA==,2194,WholisticallyYoursLLC,Hydreight,ACTIVE,WholisticallyYoursLLC,https://booking.hydreight.com/b/MjE5NA==,https://booking.hydreight.com/widget-business/nu07o,5.819861888885498,2025-06-29T23:10:07.862028
MjE5NQ==,2195,NuYu HydraLift,Hydreight,ACTIVE,NuYu HydraLift,https://booking.hydreight.com/b/MjE5NQ==,https://booking.hydreight.com/widget-business/gi36r,5.828540086746216,2025-06-29T23:10:20.349963
MjE5Ng==,2196,Haus of IV,Hydreight,ACTIVE,Haus of IV,https://booking.hydreight.com/b/MjE5Ng==,https://booking.hydreight.com/widget-business/sv70f,5.838568925857544,2025-06-29T23:10:32.773305
MjE5Nw==,2197,"N.E.W. Mobile IV Hydration, LLC",Hydreight,ACTIVE,"N.E.W. Mobile IV Hydration, LLC",https://booking.hydreight.com/b/MjE5Nw==,https://booking.hydreight.com/widget-business/vw99d,5.9775519371032715,2025-06-29T23:10:45.447836
MjE5OA==,2198,Vitaflo Wellness,Hydreight,ACTIVE,Vitaflo Wellness,https://booking.hydreight.com/b/MjE5OA==,https://booking.hydreight.com/widget-business/xi90w,5.817095994949341,2025-06-29T23:10:57.938086
MjE5OQ==,2199,Revitalize,Hydreight,ACTIVE,Revitalize,https://booking.hydreight.com/b/MjE5OQ==,https://booking.hydreight.com/widget-business/ct23i,7.167799949645996,2025-06-29T23:11:11.797934
MjIwMA==,2200,MidTN Drip Hydration and Wellness,Hydreight,ACTIVE,MidTN Drip Hydration and Wellness,https://booking.hydreight.com/b/MjIwMA==,https://booking.hydreight.com/widget-business/kg73b,6.723692893981934,2025-06-29T23:11:23.927287
MjIwMQ==,2201,Rapid Drip,Hydreight,ACTIVE,Rapid Drip,https://booking.hydreight.com/b/MjIwMQ==,https://booking.hydreight.com/widget-business/hw02s,5.937583923339844,2025-06-29T23:11:37.001901
MjIwMg==,2202,Lush Hydration & Wellness,Hydreight,ACTIVE,Lush Hydration & Wellness,https://booking.hydreight.com/b/MjIwMg==,https://booking.hydreight.com/b/MjIwMg==,6.107185125350952,2025-06-29T23:11:49.681129
MjIwMw==,2203,True North Health,Hydreight,ACTIVE,True North Health,https://booking.hydreight.com/b/MjIwMw==,https://booking.hydreight.com/widget-business/wr85i,6.351260185241699,2025-06-29T23:12:02.706906
MjIwNA==,2204,AquaPulse RX,Hydreight,ACTIVE,AquaPulse RX,https://booking.hydreight.com/b/MjIwNA==,https://booking.hydreight.com/widget-business/pd46s,5.277194976806641,2025-06-29T23:12:14.650654
MjIwNQ==,2205,Desert Peaks Hydration,Hydreight,ACTIVE,Desert Peaks Hydration,https://booking.hydreight.com/b/MjIwNQ==,https://booking.hydreight.com/widget-business/rq50s,5.801939964294434,2025-06-29T23:12:27.168384
MjIwNg==,2206,A&E IV Wellness,Hydreight,ACTIVE,A&E IV Wellness,https://booking.hydreight.com/b/MjIwNg==,https://booking.hydreight.com/widget-business/rz85t,5.278081178665161,2025-06-29T23:12:41.397835
MjIwNw==,2207,Kimberly Derrickson,Hydreight,ACTIVE,Kimberly Derrickson,https://booking.hydreight.com/b/MjIwNw==,https://booking.hydreight.com/widget-business/zi26b,5.309906244277954,2025-06-29T23:12:53.446763
MjIwOA==,2208,IV-Party NJ,Hydreight,ACTIVE,IV-Party NJ,https://booking.hydreight.com/b/MjIwOA==,https://booking.hydreight.com/widget-business/pb16i,5.795068979263306,2025-06-29T23:13:05.914390
MjIwOQ==,2209,Vivify,Hydreight,ACTIVE,Vivify,https://booking.hydreight.com/b/MjIwOQ==,https://booking.hydreight.com/widget-business/ql38l,5.282463788986206,2025-06-29T23:13:17.873273
MjIxMA==,2210,Rivers of Eden,Hydreight,ACTIVE,Rivers of Eden,https://booking.hydreight.com/b/MjIxMA==,https://booking.hydreight.com/widget-business/ox22o,5.300902843475342,2025-06-29T23:13:28.591495
MjIxMQ==,2211,Bliss Hydration & Wellness LLC,Hydreight,ACTIVE,Bliss Hydration & Wellness LLC,https://booking.hydreight.com/b/MjIxMQ==,https://booking.hydreight.com/widget-business/vy30e,5.825978994369507,2025-06-29T23:13:41.114203
MjIxMg==,2212,Living Healthlee,Hydreight,ACTIVE,Living Healthlee,https://booking.hydreight.com/b/MjIxMg==,https://booking.hydreight.com/widget-business/qo46h,5.283672094345093,2025-06-29T23:13:53.100340
