slug,url,business_name,address,phone,email,website,services,location,description,extraction_method,raw_data,extracted_at
uv34g,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/uv34g,,,,,,,,,,,2025-06-20T13:11:46.879553
kp91y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/kp91y,,,,,,,,,,,2025-06-20T13:11:49.261138
yh71m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yh71m,,,,,,,,,,,2025-06-20T13:11:49.260201
zx42l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zx42l,,,,,,,,,,,2025-06-20T13:11:49.258946
fi23p,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fi23p,,,,,,,,,,,2025-06-20T13:11:51.644507
tj54k,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/tj54k,,,,,,,,,,,2025-06-20T13:11:51.644944
yr29t,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yr29t,,,,,,,,,,,2025-06-20T13:11:51.640460
au00k,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/au00k,,,,,,,,,,,2025-06-20T13:11:54.007440
th24m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/th24m,,,,,,,,,,,2025-06-20T13:11:54.002333
oe22j,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/oe22j,,,,,,,,,,,2025-06-20T13:11:54.008688
sb22a,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/sb22a,,,,,,,,,,,2025-06-20T13:11:56.387399
rs90w,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/rs90w,,,,,,,,,,,2025-06-20T13:11:56.388650
se21u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/se21u,,,,,,,,,,,2025-06-20T13:12:08.774309
md23r,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/md23r,,,,,,,,,,,2025-06-20T13:12:08.774994
wh04f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/wh04f,,,,,,,,,,,2025-06-20T13:12:08.776463
bx73l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bx73l,,,,,,,,,,,2025-06-20T13:12:11.140448
ac19z,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ac19z,,,,,,,,,,,2025-06-20T13:12:11.141796
bq77s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bq77s,,,,,,,,,,,2025-06-20T13:12:11.140626
qm61l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qm61l,,,,,,,,,,,2025-06-20T13:12:13.504013
zp06q,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zp06q,,,,,,,,,,,2025-06-20T13:12:13.506977
oc21f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/oc21f,,,,,,,,,,,2025-06-20T13:12:13.504812
mj23y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mj23y,,,,,,,,,,,2025-06-20T13:12:15.878388
bg92b,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bg92b,,,,,,,,,,,2025-06-20T13:12:15.875392
pb70u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/pb70u,,,,,,,,,,,2025-06-20T13:12:15.876978
ap39b,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap39b,,,,,,,,,,,2025-06-20T13:12:18.233193
lp57s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lp57s,,,,,,,,,,,2025-06-20T13:12:18.246623
zh29s,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zh29s,,,,,,,,,,,2025-06-20T13:12:18.248629
mu39k,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mu39k,,,,,,,,,,,2025-06-20T13:12:20.589540
tb54h,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/tb54h,,,,,,,,,,,2025-06-20T13:12:20.576757
yh47e,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yh47e,,,,,,,,,,,2025-06-20T13:12:20.587812
sh25y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/sh25y,,,,,,,,,,,2025-06-20T13:12:22.940076
mm31o,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mm31o,,,,,,,,,,,2025-06-20T13:12:22.941743
