slug,decoded_slug,primary_business_name,primary_platform,enterprise_active,hydreight_active,both_active,enterprise_business_name,hydreight_business_name,enterprise_status,hydreight_status,enterprise_page_title,hydreight_page_title,enterprise_url,hydreight_url,tested_at
MzA0,304,Keta-Kare Infusion Therapy,Hydreight,False,True,False,,Keta-Kare Infusion Therapy,ERROR_PAGE,ACTIVE,undefined,Keta-Kare Infusion Therapy,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzA0,https://booking.hydreight.com/b/MzA0,2025-06-28T21:40:58.399590
MzI4,328,"LoveLi Care Services, LLC",Hydreight,False,True,False,,"LoveLi Care Services, LLC",ERROR_PAGE,ACTIVE,undefined,"LoveLi Care Services, LLC",https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzI4,https://booking.hydreight.com/b/MzI4,2025-06-28T21:46:13.992712
MzI5,329,3 Rivers Pharmacy,Hydreight,False,True,False,,3 Rivers Pharmacy,ERROR_PAGE,ACTIVE,undefined,3 Rivers Pharmacy,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzI5,https://booking.hydreight.com/b/MzI5,2025-06-28T21:46:29.402573
MzM2,336,River IV,Hydreight,False,True,False,,River IV,ERROR_PAGE,ACTIVE,undefined,River IV,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzM2,https://booking.hydreight.com/b/MzM2,2025-06-28T21:48:01.562529
MzQy,342,AMP Acupuncture & Medical Practice,Hydreight,False,True,False,,AMP Acupuncture & Medical Practice,ERROR_PAGE,ACTIVE,undefined,AMP Acupuncture & Medical Practice,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzQy,https://booking.hydreight.com/b/MzQy,2025-06-28T21:49:25.323392
MzUz,353,Angelo IV Therapy,Hydreight,False,True,False,,Angelo IV Therapy,ERROR_PAGE,ACTIVE,,Angelo IV Therapy,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzUz,https://booking.hydreight.com/b/MzUz,2025-06-28T21:51:57.069737
MzU0,354,"Refresh Hydr8tion, LLC",Hydreight,False,True,False,,"Refresh Hydr8tion, LLC",ERROR_PAGE,ACTIVE,,"Refresh Hydr8tion, LLC",https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzU0,https://booking.hydreight.com/b/MzU0,2025-06-28T21:52:12.198738
MzU5,359,Test St Business,Enterprise,True,False,False,Test St Business,,ACTIVE,ERROR_PAGE,Test St Business,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzU5,https://booking.hydreight.com/b/MzU5,2025-06-28T21:53:21.605719
MzYx,361,D - Mckinney,Enterprise,True,False,False,D - Mckinney,,ACTIVE,ERROR_PAGE,D - Mckinney,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYx,https://booking.hydreight.com/b/MzYx,2025-06-28T21:53:48.782133
MzYy,362,VSDH One - Kshitij test,Enterprise,True,False,False,VSDH One - Kshitij test,,ACTIVE,ERROR_PAGE,VSDH One - Kshitij test,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYy,https://booking.hydreight.com/b/MzYy,2025-06-28T21:54:01.613235
MzYz,363,VsProdBusiness,Enterprise,True,False,False,VsProdBusiness,,ACTIVE,ERROR_PAGE,VsProdBusiness,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYz,https://booking.hydreight.com/b/MzYz,2025-06-28T21:54:18.333602
MzY0,364,ST Test Business,Enterprise,True,False,False,ST Test Business,,ACTIVE,ERROR_PAGE,ST Test Business,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY0,https://booking.hydreight.com/b/MzY0,2025-06-28T21:54:31.959998
MzY1,365,Test SP,Enterprise,True,False,False,Test SP,,ACTIVE,ERROR_PAGE,Test SP,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY1,https://booking.hydreight.com/b/MzY1,2025-06-28T21:54:42.666251
MzY2,366,pHYT Medical,Enterprise,True,True,True,pHYT Medical,"2020 New Beginnings, LLc",ACTIVE,ACTIVE,pHYT Medical,"2020 New Beginnings, LLc",https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY2,https://booking.hydreight.com/b/MzY2,2025-06-28T21:54:56.450092
