slug,url,final_url,status,classification,business_name,business_indicators,error_indicators,indicators_found,error_indicators_found,page_title,content_length,load_time,content_preview,error_details,tested_at
MTg4,https://booking.hydreight.com/b/MTg4,https://booking.hydreight.com/widget-business/ea70s,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32237,6.51950478553772,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T17:56:53.132233
MTk0,https://booking.hydreight.com/b/MTk0,https://booking.hydreight.com/widget-business/ea70s,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32304,9.998126029968262,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T17:57:03.236050
MjM4,https://booking.hydreight.com/b/MjM4,https://booking.hydreight.com/widget-business/ea70s,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32033,7.141577959060669,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T17:57:10.482821
MjM5,https://booking.hydreight.com/b/MjM5,https://booking.hydreight.com/widget-business/lw49r,ACTIVE,ACTIVE_BUSINESS,Hydrate & More,9,2,"['appointment', 'service', 'therapy', 'treatment', 'select', 'hydreight', 'wellness', 'medical', 'provider']","['401', 'error']",Hydrate & More,45427,6.576467990875244,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>hydrate &amp; more</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet",,2025-06-26T17:57:17.161821
MjQz,https://booking.hydreight.com/b/MjQz,https://booking.hydreight.com/widget-business/vg79p,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32033,6.148792743682861,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T17:57:23.417024
MjQ0,https://booking.hydreight.com/b/MjQ0,https://booking.hydreight.com/widget,ACTIVE,ACTIVE_BUSINESS,Someday Wellness,3,2,"['select', 'hydreight', 'wellness']","['error', ""the link you've opened isn't working as expected""]",Someday Wellness,31934,8.052170038223267,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>someday wellness</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" ",,2025-06-26T17:57:31.575102
MjQ3,https://booking.hydreight.com/b/MjQ3,https://booking.hydreight.com/widget-business/ny50u,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32033,7.880928039550781,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T17:57:39.557809
MjUw,https://booking.hydreight.com/b/MjUw,https://booking.hydreight.com/widget-business/ny50u,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32033,5.559571981430054,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T17:57:45.224090
MjYy,https://booking.hydreight.com/b/MjYy,https://booking.hydreight.com/widget-business/jx13u,ACTIVE,ACTIVE_BUSINESS,Body Contour Aesthetics & Wellness,7,2,"['book', 'appointment', 'service', 'select', 'hydreight', 'wellness', 'medical']","['401', 'error']",Body Contour Aesthetics & Wellness,45410,12.061800003051758,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>body contour aesthetics &amp; wellness</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><",,2025-06-26T17:57:57.389190
MjYz,https://booking.hydreight.com/b/MjYz,https://booking.hydreight.com/widget,ACTIVE,ACTIVE_BUSINESS,IV Hydrate Concierge,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",IV Hydrate Concierge,31942,9.840363025665283,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>iv hydrate concierge</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""styleshe",,2025-06-26T17:58:07.331864
Mjc1,https://booking.hydreight.com/b/Mjc1,https://booking.hydreight.com/widget-business/sg03x,ACTIVE,ACTIVE_BUSINESS,Hydration Station & Therapies,5,1,"['book', 'appointment', 'service', 'select', 'hydreight']",['error'],Hydration Station & Therapies,36644,4.594209909439087,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>hydration station &amp; therapies</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link ",,2025-06-26T17:58:12.035075
